OBJECTID_12,OBJECTID_1,OBJECTID,Beats,District,Beats_0,Area_sq_mi,Perimet_mi,Shape_Leng,ShapeSTArea,ShapeSTLength
63,63,61,13D30,13,13D30,3.07402543,15.83333281,83599.9972524,85698567.8271759,83599.9972523278
64,64,62,13D40,13,13D40,5.0688163,12.70410643,67077.6819738,141309923.056931,67077.681973799
65,65,63,14D10,14,14D10,3.66057918,9.06177006,47846.1459215,102050682.527042,47846.1459214603
66,66,64,14D20,14,14D20,7.25646368,15.67707738,82774.9685769,202297787.94343,82774.9685768976
67,67,65,14D30,14,14D30,4.20537595,10.05670266,53099.3900606,117238684.023026,53099.3900605783
68,68,66,14D40,14,14D40,6.61224595,13.13562447,69356.0971882,184338100.015227,69356.0971882022
69,69,67,14D50,14,14D50,8.69627992,15.45875588,81622.2310406,242437494.359087,81621.9145980601
70,70,68,15E10,15,15E10,4.34996776,10.08395315,53243.2726472,121269655.995841,53243.2726472562
71,71,69,15E20,15,15E20,3.58384499,10.99203192,58037.928552,99911464.5893363,58037.9285520945
72,72,70,15E30,15,15E30,6.29133294,13.52645931,71419.7051722,175391594.603376,71419.705172236
73,73,71,15E40,15,15E40,10.0079174,15.2984551,80775.8429063,279003608.47367,80775.8429063371
74,74,72,16E10,16,16E10,5.38940818,9.83283559,51917.3718901,150247475.880964,51917.3718901715
75,75,73,16E20,16,16E20,8.15202134,13.29455629,70195.2571989,227264402.773742,70195.2571989363
76,76,74,16E30,16,16E30,7.00932789,14.75027708,77881.4630029,195408064.893807,77881.463002875
77,77,75,16E40,16,16E40,7.49721482,15.3714507,81161.2597115,209009517.619717,81161.2597114269
78,78,76,17E10,17,17E10,3.3104034,10.60986458,56221.721889,94166653.53567,56221.7218889507
79,79,77,17E20,17,17E20,3.92767309,10.17042976,53848.3053868,110159431.57052,53848.3053868413
80,80,78,17E30,17,17E30,3.8060455,9.88818564,52436.0255077,107983575.785493,52436.0255077479
81,81,79,17E40,17,17E40,4.70920035,13.64182124,72028.8161643,131284446.016738,72028.8161642719
82,82,80,18F10,18,18F10,1.95881352,8.1355971,42817.3400157,53778231.4885699,42817.3400156786
83,83,81,18F20,18,18F20,3.51641691,9.87081806,51838.2183513,96666074.1480785,51838.2183512457
84,84,82,18F30,18,18F30,3.80008564,11.53158617,60818.9716468,105309534.283405,60818.9716467895
85,85,83,18F40,18,18F40,2.9060249,11.32569278,59799.6578563,81015000.3791045,59799.657856298
86,86,84,18F50,18,18F50,2.96939217,10.11034614,52927.4607002,81722838.7228095,52927.4607001533
87,87,85,18F60,18,18F60,3.62528697,8.75249806,46062.0729175,100332243.812162,46062.0729175111
88,88,86,19G10,19,19G10,2.74020376,9.19650546,48241.450124,76020714.2154416,48241.4501239903
89,89,87,19G20,19,19G20,3.29219023,8.03999276,42451.1617981,91780628.9219332,42451.1617980932
90,90,88,19G30,19,19G30,2.49064202,6.97962729,36852.4321145,69434836.8380255,36852.4321144745
91,91,89,19G40,19,19G40,4.56425364,10.81575105,57107.1655409,127243638.379654,57107.150650985
92,92,90,19G50,19,19G50,2.30578624,6.78369963,35702.1671071,63029170.2217706,35702.1671071384
93,93,91,20G10,20,20G10,3.06600809,8.57697227,45286.4135993,85475057.983274,45286.4135993467
94,94,92,20G20,20,20G20,3.27621655,8.22257254,43415.1830165,91335310.1297377,43415.1830164631
95,95,93,20G30,20,20G30,3.97953501,8.49663018,44862.2073478,110942624.99457,44862.2073477994
96,96,94,20G40,20,20G40,4.16594899,9.56280291,50491.599371,116139527.644727,50491.5993710407
97,97,95,20G70,20,20G70,2.38283582,7.68690178,40586.8414248,66429384.2628268,40586.841424768
98,98,96,20G80,20,20G80,25.33626534,33.54727141,177129.593052,706331714.254792,177129.593051622
99,99,97,21I10,21,21I10,0.00549966,0.29672015,1566.682417,153321.012737219,1566.68241700415
100,100,98,21I20,21,21I20,0.01205019,0.55977023,2955.58679149,335938.626271346,2955.58679149764
101,101,99,21I30,21,21I30,0.01180375,0.449198,2371.76542459,329068.29339706,2371.76542456699
102,102,100,21I40,21,21I40,0.00923163,0.60867827,3213.82126057,257362.014627013,3213.82126055454
103,103,101,21I50,21,21I50,14.61100076,22.17299949,117073.437294,407329694.106424,117073.437293795
104,105,103,21I70,21,21I70,0.01945113,0.67602909,3569.43361205,542264.268261937,3569.43361204548
105,106,106,22B10,22,22B10,3.28874287,13.92616802,73530.1671579,91684522.3848269,73530.1671578952
106,107,107,5F20,5,05F20,5.94082911,11.48861955,60659.9112336,165620147.768046,60659.9112335891
107,108,108,4F10,4,04F10,4.13606469,8.83667621,46657.6503847,115306404.488214,46657.6503847005
108,109,109,20G50,20,20G50,5.88593521,17.84261468,94209.0054957,164089799.744223,94209.0054957168
109,110,110,4F20,4,04F20,5.85840284,12.89399684,68080.3033249,163322244.478399,68080.3033248737
110,111,111,20G60,20,20G60,4.54207617,22.76097263,120177.935501,126625309.767157,120177.935501419
111,112,112,4F30,4,04F30,26.30690179,29.42237113,155350.119581,733391397.246573,155350.119581127
112,113,113,24C10,24,24C10,5.44044978,16.55857107,87429.2552619,151670428.451393,87429.2552619167
113,114,114,24C20,24,24C20,6.8291794,18.33531473,96810.4617868,190385833.522784,96810.4617867922
114,115,115,24C30,24,24C30,9.78735527,22.41556353,118354.175454,272854713.728538,118354.175453647
115,116,116,24C40,24,24C40,35.7992771,109.467318,577987.439041,998022574.587612,577987.439041009
116,117,117,24C50,24,24C50,7.51791807,39.03772723,206119.199784,209586648.914967,206119.139002269
117,118,118,24C60,24,24C60,4.86823328,28.43693427,165003.707906,212957710.710861,165003.598940148
118,119,102,21I60,21,21I60,0.01236886,0.87945691,4643.53246477,344822.600295741,4643.53246476559
